"------------OO--O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","-","-","O","X","X","X","X","X"
"------------OO--O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","-","O","-","X","X","X","X","X"
"------------OO--OO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","-","O","O","-","-","X","X","X","X","X"
"------------OO-O---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","-","O","X","X","X","X","X"
"------------OO-O--O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","O","-","X","X","X","X","X"
"------------OO-O-O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","O","-","-","X","X","X","X","X"
"------------OO-OO---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","O","-","-","-","X","X","X","X","X"
"------------OO-XXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","-","-","O","O"
"------------OO-XXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","-","O","-","O"
"------------OO-XXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","-","O","O","-"
"------------OO-XXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","O","-","-","O"
"------------OO-XXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","O","-","O","-"
"------------OO-XXXXX-OO--","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","-","O","O","-","-"
"------------OO-XXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","O","-","-","-","O"
"------------OO-XXXXXO--O-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","O","-","-","O","-"
"------------OO-XXXXXO-O--","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","O","-","O","-","-"
"------------OO-XXXXXOO---","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","-","X","X","X","X","X","O","O","-","-","-"
"------------OOO----OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","-","O","X","X","X","X","X"
"------------OOO---O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","-","O","-","X","X","X","X","X"
"------------OOO--O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","-","O","-","-","X","X","X","X","X"
"------------OOO-O---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","-","O","-","-","-","X","X","X","X","X"
"------------OOOO----XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","O","-","-","-","-","X","X","X","X","X"
"------------OOOXXXXX----O","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","X","X","X","X","X","-","-","-","-","O"
"------------OOOXXXXX---O-","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","X","X","X","X","X","-","-","-","O","-"
"------------OOOXXXXX--O--","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","X","X","X","X","X","-","-","O","-","-"
"------------OOOXXXXX-O---","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","X","X","X","X","X","-","O","-","-","-"
"------------OOOXXXXXO----","X","-","-","-","-","-","-","-","-","-","-","-","-","O","O","O","X","X","X","X","X","O","-","-","-","-"
"-----------O--O---OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","-","-","O","O","X","X","X","X","X"
"-----------O--O--O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","-","O","-","O","X","X","X","X","X"
"-----------O--O--OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","-","O","O","-","X","X","X","X","X"
"-----------O--O-O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","O","-","-","O","X","X","X","X","X"
"-----------O--O-O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","O","-","O","-","X","X","X","X","X"
"-----------O--O-OO--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","-","O","O","-","-","X","X","X","X","X"
"-----------O--OO---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","-","-","O","X","X","X","X","X"
"-----------O--OO--O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","-","O","-","X","X","X","X","X"
"-----------O--OO-O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","-","O","-","-","X","X","X","X","X"
"-----------O--OOO---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","O","O","-","-","-","X","X","X","X","X"
"-----------O--OXXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","-","-","O","O"
"-----------O--OXXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","-","O","-","O"
"-----------O--OXXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","-","O","O","-"
"-----------O--OXXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","O","-","-","O"
"-----------O--OXXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","O","-","O","-"
"-----------O--OXXXXX-OO--","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","-","O","O","-","-"
"-----------O--OXXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","O","-","-","-","O"
"-----------O--OXXXXXO--O-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","O","-","-","O","-"
"-----------O--OXXXXXO-O--","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","O","-","O","-","-"
"-----------O--OXXXXXOO---","X","-","-","-","-","-","-","-","-","-","-","-","O","-","-","O","X","X","X","X","X","O","O","-","-","-"
"-----------O-O----OOXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","-","-","O","O","X","X","X","X","X"
"-----------O-O---O-OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","-","O","-","O","X","X","X","X","X"
"-----------O-O---OO-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","-","O","O","-","X","X","X","X","X"
"-----------O-O--O--OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","O","-","-","O","X","X","X","X","X"
"-----------O-O--O-O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","-","O","-","O","-","X","X","X","X","X"
"-----------O-O-O---OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","O","-","-","-","O","X","X","X","X","X"
"-----------O-O-XXXXX---OO","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","-","-","-","O","O"
"-----------O-O-XXXXX--O-O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","-","-","O","-","O"
"-----------O-O-XXXXX--OO-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","-","-","O","O","-"
"-----------O-O-XXXXX-O--O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","-","O","-","-","O"
"-----------O-O-XXXXX-O-O-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","-","O","-","O","-"
"-----------O-O-XXXXXO---O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","-","X","X","X","X","X","O","-","-","-","O"
"-----------O-OO----OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","-","-","O","X","X","X","X","X"
"-----------O-OO---O-XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","-","O","-","X","X","X","X","X"
"-----------O-OO--O--XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","-","O","-","-","X","X","X","X","X"
"-----------O-OO-O---XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","-","O","-","-","-","X","X","X","X","X"
"-----------O-OOO----XXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","O","-","-","-","-","X","X","X","X","X"
"-----------O-OOXXXXX----O","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","X","X","X","X","X","-","-","-","-","O"
"-----------O-OOXXXXX---O-","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","X","X","X","X","X","-","-","-","O","-"
"-----------O-OOXXXXX--O--","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","X","X","X","X","X","-","-","O","-","-"
"-----------O-OOXXXXX-O---","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","X","X","X","X","X","-","O","-","-","-"
"-----------O-OOXXXXXO----","X","-","-","-","-","-","-","-","-","-","-","-","O","-","O","O","X","X","X","X","X","O","-","-","-","-"
"-----------OO-O----OXXXXX","X","-","-","-","-","-","-","-","-","-","-","-","O","O","-","O","-","-","-","-","O","X","X","X","X","X"
